ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415065380.6632,template1,0,0,0,0,0,0,0,0,0,0
1415065380.6632,template0,0,0,0,0,0,0,0,0,0,0
1415065380.6632,postgres,0,1198,5,6908,45551,553381,16000,0,0,0
1415065380.6632,dbt3,11,19808,0,2845017436,4264705129,80408824948,42196366207,783319553,2540,2781502
1415065440.66515,template1,0,0,0,0,0,0,0,0,0,0
1415065440.66515,template0,0,0,0,0,0,0,0,0,0,0
1415065440.66515,postgres,0,1200,5,6908,45609,554307,16011,0,0,0
1415065440.66515,dbt3,9,19877,0,2845761363,4266854184,80454235361,42196372988,809919836,2585,2781506
1415065500.66784,template1,0,0,0,0,0,0,0,0,0,0
1415065500.66784,template0,0,0,0,0,0,0,0,0,0,0
1415065500.66784,postgres,0,1202,5,6908,45667,555233,16022,0,0,0
1415065500.66784,dbt3,6,19896,0,2846012584,4267873971,80514241302,42196375263,809919900,2586,2781506
1415065560.67174,template1,0,0,0,0,0,0,0,0,0,0
1415065560.67174,template0,0,0,0,0,0,0,0,0,0,0
1415065560.67174,postgres,0,1204,5,6908,45725,556159,16033,0,0,0
1415065560.67174,dbt3,6,19908,0,2846012584,4267877274,80514246423,42196376689,809919900,2586,2781506
1415065620.67563,template1,0,0,0,0,0,0,0,0,0,0
1415065620.67563,template0,0,0,0,0,0,0,0,0,0,0
1415065620.67563,postgres,0,1206,5,6908,45783,557085,16044,0,0,0
1415065620.67563,dbt3,6,19920,0,2846012584,4267880577,80514251544,42196378115,809919900,2586,2781506
1415065680.67638,template1,0,0,0,0,0,0,0,0,0,0
1415065680.67638,template0,0,0,0,0,0,0,0,0,0,0
1415065680.67638,postgres,0,1208,5,6908,45841,558011,16055,0,0,0
1415065680.67638,dbt3,11,19941,0,2847078264,4270192303,80514257300,42196379840,869905952,2586,2781506
1415065740.68104,template1,0,0,0,0,0,0,0,0,0,0
1415065740.68104,template0,0,0,0,0,0,0,0,0,0,0
1415065740.68104,postgres,0,1210,5,6908,45899,558937,16066,0,0,0
1415065740.68104,dbt3,9,19959,0,2848712309,4270693081,80634234952,42196381683,869905961,2586,2781506
1415065800.69003,template1,0,0,0,0,0,0,0,0,0,0
1415065800.69003,template0,0,0,0,0,0,0,0,0,0,0
1415065800.69003,postgres,0,1212,5,6908,45957,559863,16077,0,0,0
1415065800.69003,dbt3,9,19973,0,2851898575,4270706384,80814198024,42196383203,869905976,2588,2781506
1415065860.68805,template1,0,0,0,0,0,0,0,0,0,0
1415065860.68805,template0,0,0,0,0,0,0,0,0,0,0
1415065860.68805,postgres,0,1214,5,6908,46015,560789,16088,0,0,0
1415065860.68805,dbt3,7,19989,0,2852848036,4270826155,80874189542,42196384913,869905982,2588,2781506
1415065920.68909,template1,0,0,0,0,0,0,0,0,0,0
1415065920.68909,template0,0,0,0,0,0,0,0,0,0,0
1415065920.68909,postgres,0,1216,5,6908,46073,561715,16099,0,0,0
1415065920.68909,dbt3,6,20004,0,2854858512,4270950176,80994167267,42196386762,869905996,2588,2781506
1415065980.69559,template1,0,0,0,0,0,0,0,0,0,0
1415065980.69559,template0,0,0,0,0,0,0,0,0,0,0
1415065980.69559,postgres,0,1218,5,6908,46131,562641,16110,0,0,0
1415065980.69559,dbt3,5,20019,0,2854858512,4270953776,80994172616,42196388318,869905996,2588,2781506
1415066040.70287,template1,0,0,0,0,0,0,0,0,0,0
1415066040.70287,template0,0,0,0,0,0,0,0,0,0,0
1415066040.70287,postgres,0,1220,5,6908,46189,563567,16121,0,0,0
1415066040.70287,dbt3,5,20033,0,2854858512,4270957227,80994178284,42196389857,869905996,2588,2781506
